Data;Consumo
2000-03-01 00:00:00;25470.85502
2000-02-01 00:00:00;25588.78851
2000-01-01 00:00:00;24463.18616
1999-12-01 00:00:00;24812.90945
1999-11-01 00:00:00;24597.58639
1999-10-01 00:00:00;24847.33456
1999-09-01 00:00:00;25272.97444
1999-08-01 00:00:00;24895.36465
1999-07-01 00:00:00;24581.09382
1999-06-01 00:00:00;24407.39403
1999-05-01 00:00:00;24178.69562
1999-04-01 00:00:00;24753.89075
1999-03-01 00:00:00;25243.66788
1999-02-01 00:00:00;24660.84256
1999-01-01 00:00:00;23340.17823
